"","google_knowledge_occupation","group","year","month","day","imie","nazwisko"
"1","actor","Acting",1999,1,11,"Michael","J. Fox"
"2","comedian","Comedy",1999,1,12,"Sandra","Bernhard"
"3","television actress","Acting",1999,1,13,"Tracey","Ullman"
"4","film actress","Acting",1999,1,14,"Gillian","Anderson"
"5","actor","Acting",1999,1,18,"David","Alan Grier"
"6","actor","Acting",1999,1,19,"William","Baldwin"
"7","singer-lyricist","Musician",1999,1,20,"Michael","Stipe"
"8","model","Media",1999,1,21,"Carmen","Electra"
"9","actor","Acting",1999,1,25,"Matthew","Lillard"
"10","stand-up comedian","Comedy",1999,1,26,"David","Cross"
"11","actress","Acting",1999,1,27,"Yasmine","Bleeth"
"12","actor","Acting",1999,1,28,"D.","L. Hughley"
"13","television actress","Acting",1999,10,18,"Rebecca","Gayheart"
"14","comedian","Comedy",1999,10,19,"Steven","Wright"
"15","actress","Acting",1999,10,20,"Amy","Brenneman"
"16","actress","Acting",1999,10,21,"Melissa","Gilbert"
"17","actress","Acting",1999,10,25,"Cathy","Moriarty"
"18","comedian","Comedy",1999,10,26,"Louie","Anderson"
"19","actress","Acting",1999,10,27,"Sarah","Michelle Gellar"
"20","singer-songwriter","Musician",1999,10,28,"Melanie","C"
"21","actor","Acting",1999,10,4,"Greg","Proops"
"22","television personality","Media",1999,10,5,"Maury","Povich"
"23","actress","Acting",1999,10,6,"Brooke","Shields"
"24","comic","Comedy",1999,10,7,"Molly","Shannon"
"25","actor","Acting",1999,11,1,"Chris","O'Donnell"
"26","actress","Acting",1999,11,15,"Christina","Ricci"
"27","singer-songwriter","Musician",1999,11,16,"Tori","Amos"
"28","actress","Acting",1999,11,17,"Yasmine","Bleeth"
"29","comedian","Comedy",1999,11,18,"Bill","Maher"
"30","actress","Acting",1999,11,2,"Jennifer","Love Hewitt"
"31","rock band","Musician",1999,11,29,"Goo","Goo Dolls"
"32","musician","Musician",1999,11,3,"Dave","Grohl"
"33","film actor","Acting",1999,11,30,"Stephen","Rea"
"34","model","Media",1999,11,4,"Roshumba","Williams"
"35","television actress","Acting",1999,11,8,"Kellie","Martin"
"36","actress","Acting",1999,11,9,"Kathy","Griffin"
"37","actress","Acting",1999,12,1,"Laura","San Giacomo"
"38","journalist","Media",1999,12,13,"Joan","Lunden"
"39","actress","Acting",1999,12,14,"Shannen","Doherty"
"40",NA,NA,1999,12,15,"Greatest","Millennium Special"
"41","comedian","Comedy",1999,12,16,"George","Carlin"
"42","actor","Acting",1999,12,2,"Michael","Boatman"
"43","actor","Acting",1999,12,20,"David","Boreanaz"
"44","singer-songwriter","Musician",1999,12,21,"Jewel",NA
"45","actor","Acting",1999,12,6,"Paul","Rudd"
"46","us senator","Politician",1999,12,7,"Senator","Bob Dole, part 1"
"47","us senator","Politician",1999,12,8,"Senator","Bob Dole, part 2"
"48","actor","Acting",1999,12,9,"Rob","Schneider"
"49","comedian","Comedy",1999,2,1,"George","Carlin"
"50","actress","Acting",1999,2,10,"Pamela","Anderson, Natalie Raitano, Molly Culver"
"51","actress","Acting",1999,2,10,"Pamela","Anderson, Natalie Raitano, Molly Culver"
"52","actress","Acting",1999,2,10,"Pamela","Anderson, Natalie Raitano, Molly Culver"
"53","film actor","Acting",1999,2,11,"Daniel","Stern"
"54","actress","Acting",1999,2,16,"Melina","Kanakaredes"
"55","comedian","Comedy",1999,2,17,"Ed","McMahon"
"56","actor","Acting",1999,2,18,"Mike","Judge"
"57","actor","Acting",1999,2,2,"Dave","Foley"
"58","television actress","Acting",1999,2,3,"Kellie","Martin"
"59","actor","Acting",1999,2,4,"Jerry","O'Connell"
"60","actress","Acting",1999,2,8,"Melissa","Gilbert"
"61","actor","Acting",1999,2,9,"Brendan","Fraser"
"62","pianist","Musician",1999,3,1,"John","Tesh"
"63","vocalist","Musician",1999,3,10,"Sammy","Hagar"
"64","rock band","Musician",1999,3,11,"Hootie","& the Blowfish, Billy Crystal"
"65","actor","Acting",1999,3,11,"Hootie","& the Blowfish, Billy Crystal"
"66","film actor","Acting",1999,3,15,"Peter","Krause"
"67","musician","Musician",1999,3,16,"Chris","Isaak"
"68","writer","Media",1999,3,17,"Frank","DeCaro's Oscar Special, John Larroquette"
"69","actor","Acting",1999,3,17,"Frank","DeCaro's Oscar Special, John Larroquette"
"70","actor","Acting",1999,3,18,"Joseph","Gordon-Levitt"
"71","actor","Acting",1999,3,2,"Eric","McCormack"
"72","actress","Acting",1999,3,22,"Jennifer","Grey"
"73","stand-up comedian","Comedy",1999,3,23,"Norm","Macdonald"
"74","actress","Acting",1999,3,24,"Sandra","Bullock"
"75","actress","Acting",1999,3,25,"Janine","Turner"
"76","film director","Media",1999,3,29,"Ron","Howard"
"77","actress","Acting",1999,3,3,"Jeri","Ryan"
"78","actor","Acting",1999,3,30,"Omar","Epps"
"79","actress","Acting",1999,3,31,"Diane","Lane"
"80","actor","Acting",1999,3,4,"Ryan","Phillippe"
"81","actor","Acting",1999,3,8,"Ian","McKellen"
"82","actor","Acting",1999,3,9,"Jon","Voight"
"83","actor","Acting",1999,4,1,"Stephen","Baldwin"
"84","actor","Acting",1999,4,12,"Ernie","Hudson"
"85","film actor","Acting",1999,4,13,"Josh","Charles"
"86","actor","Acting",1999,4,14,"Jackie","Chan"
"87","actress","Acting",1999,4,15,"Marlee","Matlin"
"88","actress","Acting",1999,4,19,"Sharon","Lawrence"
"89","actor","Acting",1999,4,20,"Rob","Estes"
"90","actress","Acting",1999,4,21,"Angelina","Jolie"
"91","stand-up comedian","Comedy",1999,4,22,"David","Spade"
